epoch,accuracy,loss,val_accuracy,val_loss
0,0.359535,1.3296333440545192,0.45821326971054077,1.2784168675584822
1,0.6360365,0.9925609294344704,0.6426513195037842,0.944614782800592
2,0.7843897,0.5895346940190648,0.6570605039596558,0.8254748254756763
3,0.84002215,0.4271150971841456,0.6772334575653076,0.7969264771134434
4,0.8715749,0.34198353850970203,0.6829971075057983,0.8166733643507065
5,0.89814556,0.28030826243343293,0.680115282535553,0.8653034799724216
6,0.92001104,0.23186795086435688,0.6829971075057983,0.8982519237727185
7,0.94215333,0.19265024678680068,0.680115282535553,0.9643043540740219
8,0.94741213,0.16928656398425168,0.6714697480201721,1.0076101832843307
9,0.9568226,0.14708718224027761,0.6599423885345459,1.0735051394883082
10,0.9615278,0.13264507185198612,0.6628242135047913,1.1210121198071528
11,0.9642956,0.11744057342777152,0.6541786789894104,1.2064566495439162
12,0.96706337,0.1088534260997144,0.6772334575653076,1.1979879872599666
13,0.9692776,0.09704291088459666,0.6628242135047913,1.2548377081021795
14,0.9731525,0.091719064848132,0.680115282535553,1.332258700293835
15,0.97232217,0.08690829150463253,0.6714697480201721,1.3405165483353805
16,0.9742596,0.08430211476975454,0.6685879230499268,1.370155275726868
17,0.9717686,0.08780018392091407,0.6541786789894104,1.3753996218315807
18,0.9745364,0.08024764309773609,0.6714697480201721,1.4315091299392304
19,0.97619706,0.0758084122711726,0.6657060384750366,1.474433715130479
20,0.9756435,0.0674179716836357,0.6570605039596558,1.5425848500529353
21,0.9753667,0.07421811428792319,0.6628242135047913,1.4694494816343104
22,0.97481316,0.070890953843197,0.6570605039596558,1.5328327716255739
23,0.9781345,0.06778641824125667,0.6743515729904175,1.6039022760363753
24,0.97619706,0.06599578962921931,0.6455331444740295,1.6338233095768206
